EVENT_DATE,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ACTOR2,LOCATION,LATITUDE,LONGITUDE,SOURCE_SCALE,FATALITIES
21-September-2018,Battles,Armed clash,Military Forces of Brazil (2016-2018) Military Police,PCC: First Capital Command,Boa Vista,2.82,-60.673,National,4
15-August-2018,Violence against civilians,Attack,Unidentified Gang (Brazil),Civilians (Brazil),Natal,-5.795,-35.209,Subnational,1
31-August-2018,Violence against civilians,Attack,Unidentified Armed Group (Brazil),Civilians (Brazil),Boa Vista,2.82,-60.673,Subnational,0
09-April-2018,Battles,Armed clash,Military Forces of Brazil (2016-2018) Military Police,Unidentified Gang and/or Police Militia,Aracatuba,-21.209,-50.433,National,1
23-July-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Rio de Janeiro - Central Zone,-22.906,-43.182,New media,0
19-April-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Niteroi,-22.883,-43.104,New media,0
25-July-2018,Battles,Armed clash,CV: Red Command,TCP: Pure Third Command,Niteroi,-22.883,-43.104,Subnational,0
31-May-2018,Strategic developments,Looting/property destruction,Military Forces of Brazil (2016-2018) Military Police,Unidentified Gang (Brazil),Dourados,-22.221,-54.806,Subnational-International,0
24-March-2018,Violence against civilians,Attack,Unidentified Gang (Brazil),Civilians (Brazil),Belem,-1.444,-48.473,National,1
02-May-2018,Battles,Armed clash,Unidentified Gang and/or Police Militia,Military Forces of Brazil (2016-2018) Military Police,Rio de Janeiro - South Zone,-22.966,-43.199,International,0
24-April-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Camaragibe,-8.022,-34.981,Subnational,2
02-March-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Rio de Janeiro - South Zone,-22.966,-43.199,New media,0
18-April-2018,Battles,Armed clash,Military Forces of Brazil (2016-2018) Military Police,Unidentified Gang and/or Police Militia,Rio de Janeiro - West Zone,-22.915,-43.488,National,0
07-February-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Paranatinga,-14.424,-54.058,Local partner-Other,1
20-May-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Rio Branco,-9.975,-67.81,National,1
02-August-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Osasco,-23.532,-46.792,New media,0
18-February-2018,Violence against civilians,Attack,Military Forces of Brazil (2016-2018) Military Police,Civilians (Brazil),Salvador,-12.971,-38.511,Subnational-National,1
17-July-2018,Violence against civilians,Attack,Military Forces of Brazil (2016-2018) Military Police,Civilians (Brazil),Rio de Janeiro - West Zone,-22.915,-43.488,National,1
24-October-2018,Battles,Armed clash,Military Forces of Brazil (2016-2018) Military Police,Unidentified Gang and/or Police Militia,Rio de Janeiro - South Zone,-22.966,-43.199,National,0
02-October-2018,Violence against civilians,Attack,Unidentified Gang (Brazil),Civilians (Brazil),Recife,-8.054,-34.881,National,2
18-August-2018,Battles,Armed clash,Military Forces of Brazil (2016-2018) Military Police,Unidentified Gang and/or Police Militia,Feira de Santana,-12.267,-38.967,Subnational,1
24-July-2018,Battles,Armed clash,Unidentified Gang and/or Police Militia,Military Forces of Brazil (2016-2018) Military Police,Colombo,-25.292,-49.224,National,1
11-July-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Rio Branco,-9.975,-67.81,Subnational,0
27-August-2018,Violence against civilians,Attack,Unidentified Gang (Brazil),Civilians (Brazil),Ribeirao das Neves,-19.767,-44.087,National,1
24-July-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Sao Paulo - East Zone,-23.549,-46.537,New media,0
12-February-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Rio de Janeiro - North Zone,-22.857,-43.301,New media,0
21-January-2018,Battles,Armed clash,Unidentified Gang (Brazil),Unidentified Gang (Brazil),Ribeira do Pombal,-10.838,-38.538,National,3
03-November-2018,Strategic developments,Looting/property destruction,Military Forces of Brazil (2016-2018) Military Police,Unidentified Gang (Brazil),Oroco,-8.614,-39.603,National,0
19-August-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Macapa,0.039,-51.066,National,1
17-May-2018,Battles,Armed clash,Unidentified Gang (Brazil),Police Forces of Brazil (2016-2018),Conde,-11.813,-37.614,National,2
30-July-2018,Battles,Armed clash,CV: Red Command,Unidentified Gang and/or Police Militia,Rio de Janeiro - West Zone,-22.915,-43.488,New media-National,0
05-April-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Belem,-1.444,-48.473,National,1
27-March-2018,Violence against civilians,Attack,Unidentified Gang (Brazil),Civilians (Brazil),Areado,-21.358,-46.147,National,2
11-April-2018,Battles,Armed clash,Unidentified Gang (Brazil),Military Forces of Brazil (2016-2018),Ipiacu,-18.692,-49.943,Subnational,0
14-August-2018,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Gang (Brazil),Civilians (Brazil),Vila Nova do Sul,-30.343,-53.883,Subnational,0
13-June-2018,Violence against civilians,Attack,Unidentified Armed Group (Brazil),Civilians (Brazil),Aparecida de Goiania,-16.82,-49.247,Subnational,2
17-March-2018,Strategic developments,Looting/property destruction,Unidentified Gang and/or Police Militia,Civilians (Brazil),Romaria,-18.882,-47.585,National,0
16-November-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Rio de Janeiro - Central Zone,-22.906,-43.182,New media,0
21-July-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Rio de Janeiro - South Zone,-22.966,-43.199,New media,0
18-September-2018,Battles,Armed clash,Unidentified Gang (Brazil),Military Forces of Brazil (2016-2018) Military Police,Guaira,-24.08,-54.256,National,0
07-July-2018,Riots,Violent demonstration,Rioters (Brazil),Military Forces of Brazil (2016-2018) Military Police,Rio de Janeiro - West Zone,-22.915,-43.488,National,0
16-August-2018,Battles,Armed clash,Military Forces of Brazil (2016-2018) Military Police,CV: Red Command,Rio de Janeiro - North Zone,-22.857,-43.301,National,0
21-April-2018,Violence against civilians,Attack,FDN: Family of the North,Civilians (Brazil),Autazes,-3.582,-59.128,Subnational,1
24-November-2018,Strategic developments,Looting/property destruction,Military Forces of Brazil (2016-2018) Military Police,Unidentified Gang (Brazil),Petrolina,-9.389,-40.503,National,0
21-June-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Rio de Janeiro - Central Zone,-22.906,-43.182,New media,0
07-July-2018,Battles,Armed clash,Military Forces of Brazil (2016-2018) Military Police,Unidentified Gang and/or Police Militia,Niteroi,-22.883,-43.104,Subnational,1
16-February-2018,Battles,Armed clash,Unidentified Gang (Brazil),Unidentified Gang (Brazil),Porto Alegre,-30.033,-51.23,National,1
23-March-2018,Battles,Armed clash,Unidentified Gang (Brazil),Unidentified Gang (Brazil),Macapa,0.039,-51.066,Subnational,0
30-April-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Mossoro,-5.184,-37.35,National,1
13-March-2018,Battles,Armed clash,CV: Red Command,PCC: First Capital Command,Cuiaba,-15.596,-56.097,National,1
15-August-2018,Violence against civilians,Attack,Military Forces of Brazil (2016-2018) Military Police,Civilians (Brazil),Goiania,-16.679,-49.254,National-International,1
09-June-2018,Battles,Armed clash,Military Forces of Brazil (2016-2018) Military Police,Unidentified Gang and/or Police Militia,Macae,-22.385,-41.783,National,1
30-June-2018,Battles,Armed clash,Unidentified Gang (Brazil),Military Forces of Brazil (2016-2018) Military Police,Mata de Sao Joao,-12.527,-38.305,National,1
16-August-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Rondonopolis,-16.471,-54.636,National,1
22-July-2018,Battles,Armed clash,Unidentified Gang and/or Police Militia,Unidentified Gang and/or Police Militia,Angra dos Reis,-23.007,-44.318,National,4
23-August-2018,Violence against civilians,Attack,Unidentified Gang (Brazil),Civilians (Brazil),Santana,-0.037,-51.173,National,0
27-October-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Aruja,-23.396,-46.321,New media,0
31-March-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Mangaratiba,-22.943,-44.041,National,1
02-December-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Sao Goncalo,-22.827,-43.054,Subnational,2
22-October-2018,Battles,Armed clash,Military Forces of Brazil (2016-2018) Military Police,Unidentified Gang (Brazil),Salvador,-12.971,-38.511,National,1
25-August-2018,Battles,Armed clash,Military Forces of Brazil (2016-2018),Unidentified Gang and/or Police Militia,Rio de Janeiro,-22.911,-43.209,National,0
28-March-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Rio de Janeiro - North Zone,-22.857,-43.301,New media,0
17-November-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Duque de Caxias,-22.786,-43.312,New media,0
05-July-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Diadema,-23.686,-46.623,National,1
03-October-2018,Riots,Violent demonstration,Rioters (Brazil),Rioters (Brazil),Rio de Janeiro - South Zone,-22.966,-43.199,National,0
25-August-2018,Battles,Armed clash,Unidentified Gang and/or Police Militia,Unidentified Gang (Brazil),Boa Vista,2.82,-60.673,National,1
26-August-2018,Violence against civilians,Attack,Unidentified Armed Group (Brazil),Civilians (Brazil),Taubate,-23.026,-45.555,National,1
17-February-2018,Battles,Armed clash,Unidentified Gang (Brazil),Unidentified Gang (Brazil),Cruzeiro do Sul,-7.626,-72.678,National,1
31-July-2018,Violence against civilians,Attack,Unidentified Gang (Brazil),Civilians (Brazil),Nilo Pecanha,-13.601,-39.104,National,1
03-January-2018,Battles,Armed clash,Unidentified Gang and/or Police Militia,Military Forces of Brazil (2016-2018) Military Police,Rio de Janeiro - North Zone,-22.857,-43.301,National,0
11-October-2018,Violence against civilians,Attack,Unidentified Armed Group (Brazil),Civilians (Brazil),Macapa,0.039,-51.066,National,0
04-March-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Fortaleza,-3.717,-38.543,Subnational,1
05-June-2018,Battles,Armed clash,Unidentified Gang (Brazil),Unidentified Gang (Brazil),Ponta Pora,-22.536,-55.726,Subnational,1
21-September-2018,Battles,Armed clash,Military Forces of Brazil (2016-2018) Military Police,Unidentified Gang (Brazil),Recife,-8.054,-34.881,National,0
19-April-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Belem,-1.444,-48.473,National,1
25-December-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Poa,-23.528,-46.345,New media,0
02-June-2018,Battles,Armed clash,Unidentified Gang and/or Police Militia,Military Forces of Brazil (2016-2018) UPP: Pacifying Police Unit,Rio de Janeiro - West Zone,-22.915,-43.488,National,2
25-February-2018,Battles,Armed clash,Unidentified Gang and/or Police Militia,Unidentified Gang and/or Police Militia,Florianopolis,-27.597,-48.549,Subnational,0
14-August-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Rio de Janeiro - North Zone,-22.857,-43.301,New media,0
24-July-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Feira de Santana,-12.267,-38.967,Subnational,1
24-January-2018,Violence against civilians,Attack,Unidentified Armed Group (Brazil),Civilians (Brazil),Serra,-20.129,-40.308,Subnational,1
17-April-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Uberlandia,-18.919,-48.277,National,2
19-December-2018,Battles,Armed clash,Military Forces of Brazil (2016-2018) Military Police,Unidentified Gang and/or Police Militia,Rio de Janeiro - North Zone,-22.857,-43.301,Subnational,0
06-August-2018,Strategic developments,Looting/property destruction,Unidentified Gang and/or Police Militia,Civilians (Brazil),Florianopolis,-27.597,-48.549,National,0
24-April-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Angra dos Reis,-23.007,-44.318,New media,0
09-April-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Rio de Janeiro - West Zone,-22.915,-43.488,New media,0
26-January-2018,Battles,Armed clash,Police Forces of Brazil (2016-2018),Unidentified Gang and/or Police Militia,Rio de Janeiro - South Zone,-22.966,-43.199,New media,0
28-July-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Ibateguara,-8.974,-35.928,Subnational,1
07-April-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Belem,-1.444,-48.473,National,1
01-April-2018,Battles,Armed clash,Unidentified Gang and/or Police Militia,Unidentified Gang (Brazil),Colinas do Tocantins,-8.059,-48.475,National,1
24-November-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Macapa,0.039,-51.066,Subnational,1
03-April-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Rio Branco,-9.975,-67.81,Subnational,1
16-October-2018,Battles,Armed clash,Unidentified Gang and/or Police Militia,Unidentified Gang (Brazil),Manaus,-3.102,-60.025,National,1
23-December-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Boa Vista,2.82,-60.673,Subnational,1
30-May-2018,Battles,Armed clash,Unidentified Gang (Brazil),Military Forces of Brazil (2016-2018) Military Police,Goiania,-16.679,-49.254,Subnational,1
26-September-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Rio de Janeiro - West Zone,-22.915,-43.488,New media,0
11-August-2018,Violence against civilians,Attack,Unidentified Armed Group (Brazil),Civilians (Brazil),Manaus,-3.102,-60.025,Subnational,1
17-March-2018,Violence against civilians,Attack,Unidentified Armed Group (Brazil),Civilians (Brazil),Feira de Santana,-12.267,-38.967,Subnational,1
08-March-2018,Battles,Armed clash,Unidentified Communal Militia (Brazil),Unidentified Communal Militia (Brazil),Capitao Eneas,-16.325,-43.715,National,0
14-December-2018,Battles,Armed clash,Military Forces of Brazil (2016-2018) Military Police,Unidentified Gang and/or Police Militia,Nova Canaa,-14.794,-40.142,National,0
11-November-2018,Battles,Armed clash,PCC: First Capital Command,Military Forces of Brazil (2016-2018) Military Police,Goiatins,-7.713,-47.315,Subnational,1
19-March-2018,Battles,Armed clash,Unidentified Gang and/or Police Militia,Police Forces of Brazil (2016-2018) Prison Guards,Recife,-8.054,-34.881,National,1
16-June-2018,Violence against civilians,Attack,Police Militia,Civilians (Brazil),Maceio,-9.666,-35.735,Subnational,1
04-July-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Sao Paulo - East Zone,-23.549,-46.537,New media,0
31-August-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Itu,-23.265,-47.3,National,1
01-May-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Rio de Janeiro - West Zone,-22.915,-43.488,New media,0
22-March-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Rio de Janeiro - North Zone,-22.857,-43.301,New media,0
22-March-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Maceio,-9.666,-35.735,Subnational,1
16-August-2018,Battles,Armed clash,Military Forces of Brazil (2016-2018) Military Police,Unidentified Gang and/or Police Militia,Sao Pedro da Aldeia,-22.839,-42.103,New media,0
01-November-2018,Battles,Armed clash,Unidentified Gang and/or Police Militia,Military Forces of Brazil (2016-2018) Military Police,Nova Friburgo,-22.282,-42.531,National,0
14-May-2018,Battles,Armed clash,Unidentified Gang (Brazil),Unidentified Gang (Brazil),Tangara da Serra,-14.612,-57.49,National,1
02-July-2018,Violence against civilians,Attack,Unidentified Gang (Brazil),Civilians (Brazil),Joao Pessoa,-7.115,-34.863,Subnational,0
11-January-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Macapa,0.039,-51.066,Subnational-National,1
20-March-2018,Violence against civilians,Attack,PCC: First Capital Command,Civilians (Brazil),Presidente Prudente,-22.126,-51.389,National,0
02-August-2018,Battles,Armed clash,Police Forces of Brazil (2016-2018),Unidentified Gang and/or Police Militia,Sao Goncalo,-22.827,-43.054,New media,0
10-October-2018,Battles,Armed clash,Unidentified Gang and/or Police Militia,Unidentified Gang and/or Police Militia,Nova Friburgo,-22.282,-42.531,National,1
02-July-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Lagarto,-10.918,-37.669,National,1
26-February-2018,Battles,Armed clash,Military Forces of Brazil (2016-2018) Military Police,Unidentified Gang and/or Police Militia,Itaguai,-22.852,-43.775,Subnational,0
04-November-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Fortaleza,-3.717,-38.543,National,2
04-July-2018,Battles,Armed clash,Unidentified Gang and/or Police Militia,Military Forces of Brazil (2016-2018) Military Police,Satuba,-9.571,-35.825,Subnational,0
09-April-2018,Battles,Armed clash,Unidentified Gang (Brazil),Unidentified Gang (Brazil),Assu,-5.584,-36.914,Subnational-National,1
05-May-2018,Battles,Armed clash,Unidentified Gang and/or Police Militia,Military Forces of Brazil (2016-2018) Military Police,Rio de Janeiro - South Zone,-22.966,-43.199,National,0
19-December-2018,Battles,Armed clash,Military Forces of Brazil (2016-2018) Military Police,Unidentified Gang (Brazil),Simao Dias,-10.74,-37.809,National,1
12-January-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Garanhuns,-8.892,-36.488,National,1
23-November-2018,Violence against civilians,Attack,Unidentified Gang (Brazil),Civilians (Brazil),Ararangua,-28.935,-49.487,Subnational,2
01-May-2018,Battles,Armed clash,Unidentified Gang (Brazil),Military Forces of Brazil (2016-2018) Military Police,Mari,-7.058,-35.318,National,0
19-March-2018,Battles,Armed clash,Military Forces of Brazil (2016-2018) Military Police,CV: Red Command,Sao Goncalo,-22.827,-43.054,Subnational,0
09-February-2018,Battles,Armed clash,Unidentified Gang (Brazil),Military Forces of Brazil (2016-2018) Military Police,Miguelopolis,-20.18,-48.03,National,0
20-December-2018,Battles,Armed clash,Military Forces of Brazil (2016-2018) Military Police,Unidentified Gang and/or Police Militia,Volta Redonda,-22.523,-44.104,Subnational,0
28-June-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Angra dos Reis,-23.007,-44.318,New media,0
01-August-2018,Battles,Armed clash,Military Forces of Brazil (2016-2018) Military Police,Unidentified Gang (Brazil),Buriticupu,-4.315,-46.46,National,0
23-February-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Santa Rita,-7.114,-34.978,Subnational,1
28-January-2018,Battles,Armed clash,PCC: First Capital Command,Military Forces of Brazil (2016-2018) Military Police,Dourados,-22.221,-54.806,Subnational-National,2
19-June-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Recife,-8.054,-34.881,Other,0
12-May-2018,Battles,Armed clash,Unidentified Gang and/or Police Militia,Unidentified Gang (Brazil),Coruripe,-10.125,-36.176,National,4
29-January-2018,Violence against civilians,Attack,Unidentified Armed Group (Brazil),Civilians (Brazil),Teotonio Vilela,-9.906,-36.358,Subnational,0
18-September-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Embu das Artes,-23.649,-46.852,New media,0
26-February-2018,Battles,Armed clash,Military Forces of Brazil (2016-2018) Military Police,PCC: First Capital Command,Sao Goncalo do Amarante,-5.793,-35.329,Subnational-National,1
25-August-2018,Strategic developments,Looting/property destruction,Military Forces of Brazil (2016-2018) Military Police,Unidentified Gang (Brazil),Mirante do Paranapanema,-22.296,-51.908,National,0
29-August-2018,Violence against civilians,Attack,Unidentified Armed Group (Brazil),Civilians (Brazil),Santa Barbara d'Oeste,-22.753,-47.415,National,1
16-January-2018,Battles,Armed clash,Unidentified Gang (Brazil),Unidentified Gang (Brazil),Gravatai,-29.942,-50.993,National,2
30-August-2018,Strategic developments,Looting/property destruction,Unidentified Armed Group (Brazil),Civilians (Brazil),Ribeirao Preto,-21.177,-47.81,National,0
08-October-2018,Battles,Armed clash,Military Forces of Brazil (2016-2018) Military Police,Unidentified Gang (Brazil),Serra,-20.129,-40.308,National,0
16-October-2018,Strategic developments,Arrests,Police Forces of Brazil (2016-2018) Civil Police,Unidentified Gang and/or Police Militia,Campos dos Goytacazes,-21.763,-41.319,National,0
15-October-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Manaus,-3.102,-60.025,Subnational,1
19-August-2018,Battles,Armed clash,PCC: First Capital Command,RN: Crime Union of RN,Nisia Floresta,-6.094,-35.2,National,4
07-May-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Rio de Janeiro - West Zone,-22.915,-43.488,New media,0
28-May-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Rio de Janeiro - Central Zone,-22.906,-43.182,New media,0
29-December-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Serra do Salitre,-19.11,-46.688,National,1
19-February-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Boa Vista,2.82,-60.673,Subnational,0
22-March-2018,Battles,Armed clash,Unidentified Gang and/or Police Militia,Unidentified Gang (Brazil),Araucaria,-25.589,-49.4,National,1
16-March-2018,Battles,Armed clash,Military Forces of Brazil (2016-2018) Military Police,Unidentified Gang (Brazil),Rio Branco,-9.975,-67.81,National,1
27-January-2018,Violence against civilians,Attack,Unidentified Armed Group (Brazil),Civilians (Brazil),Volta Redonda,-22.523,-44.104,National,1
10-July-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Caxias do Sul,-29.168,-51.179,Subnational,3
19-January-2018,Violence against civilians,Attack,Brazil Skinheads,Civilians (Brazil),Fortaleza,-3.717,-38.543,National,0
17-February-2018,Violence against civilians,Attack,Unidentified Armed Group (Brazil),Civilians (Brazil),Campo Grande,-20.443,-54.646,Subnational-National,0
17-February-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Resende,-22.471,-44.451,National,0
26-January-2018,Violence against civilians,Attack,Unidentified Gang (Brazil),Civilians (Brazil),Sertaozinho,-21.139,-47.99,National,0
22-March-2018,Battles,Armed clash,Military Forces of Brazil (2016-2018) Military Police,Unidentified Gang (Brazil),Itatira,-4.53,-39.621,National,0
11-August-2018,Violence against civilians,Attack,Military Forces of Brazil (2016-2018) Military Police,Civilians (Brazil),Goiania,-16.679,-49.254,National,0
03-October-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Rio de Janeiro - Central Zone,-22.906,-43.182,New media,0
18-July-2018,Battles,Armed clash,Unidentified Gang (Brazil),Police Forces of Brazil (2016-2018),Lagoa dos Gatos,-8.654,-35.904,National,0
06-July-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Sao Jose dos Campos,-23.179,-45.887,New media,0
19-April-2018,Battles,Armed clash,Military Forces of Brazil (2016-2018) Military Police,FDN: Family of the North,Manaus,-3.102,-60.025,Subnational,0
19-May-2018,Battles,Armed clash,Unidentified Gang and/or Police Militia,Police Forces of Brazil (2016-2018),Varzea Grande,-15.647,-56.132,National,1
01-January-2018,Violence against civilians,Attack,CV: Red Command,Civilians (Brazil),Belford Roxo,-22.764,-43.399,National-International,1
16-April-2018,Battles,Armed clash,Military Forces of Brazil (2016-2018) Military Police,Unidentified Gang and/or Police Militia,Sao Vicente,-23.963,-46.392,National,0
17-May-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Ipatinga,-19.466,-42.548,National,1
04-July-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Campos dos Goytacazes,-21.763,-41.319,National,0
15-December-2018,Battles,Armed clash,Police Forces of Brazil (2016-2018) Civil Police,Unidentified Gang and/or Police Militia,Dourados,-22.221,-54.806,Subnational,1
02-April-2018,Battles,Armed clash,Police Forces of Brazil (2016-2018) Federal Police,Unidentified Gang and/or Police Militia,Angra dos Reis,-23.007,-44.318,New media,0
05-June-2018,Battles,Armed clash,Unidentified Gang (Brazil),Military Forces of Brazil (2016-2018) Military Police,Salvador,-12.971,-38.511,National,1
25-April-2018,Strategic developments,Looting/property destruction,Police Forces of Brazil (2016-2018) Civil Police,Unidentified Gang (Brazil),Aruja,-23.396,-46.321,National,0
